F,t,#ev,,ap
47.28,86.20,3493,60,25
46.10,150.23,5797,60,25
49.90,98.33,3750,59,25
48.82,92.08,3754,60,25
46.88,141.44,5345,61,25
47.20,122.59,4892,60,25
47.38,108.16,4289,59,25
47.73,125.45,4825,64,25
47.46,118.63,4758,62,25
47.21,138.37,5316,63,25
46.51,145.85,5701,63,25
47.70,162.56,7405,62,25
47.43,116.11,4441,59,25
47.53,99.52,5578,61,25
47.17,144.14,5510,63,25
48.39,90.18,3331,60,25
46.17,149.51,5834,63,25
47.51,145.83,5619,61,25
48.99,99.92,3900,60,25
46.69,179.93,7225,63,25
47.27,109.70,4087,61,25
