F,t,#ev,,ap
44.18,47.48,7106,91,25
44.48,34.69,4416,91,24
44.37,44.70,7490,91,25
43.90,39.73,5380,94,25
44.33,26.18,4612,96,25
44.12,45.43,6844,86,25
44.50,38.48,6223,88,23
44.18,46.63,6601,88,25
44.21,38.49,5367,89,25
44.42,44.27,6820,97,25
44.88,36.02,5494,96,25
43.88,38.02,5358,91,25
44.00,40.81,5413,93,23
44.40,33.03,3956,93,25
43.67,46.38,7449,93,24
43.98,40.96,6019,90,25
44.31,35.49,4570,99,25
43.33,36.38,4725,89,25
43.77,39.94,5431,87,25
43.58,31.94,3895,87,23
43.66,37.71,5007,93,25
44.32,50.84,7523,91,25
44.24,42.11,6407,96,24
44.12,34.91,4676,91,24
43.32,46.87,7157,92,25
43.85,47.55,6933,93,25
44.32,39.56,5641,91,25
44.08,31.73,3635,92,24
43.60,38.73,5217,87,25
44.78,44.85,6151,89,24
43.87,40.66,5520,98,24
43.66,37.63,5765,87,25
44.20,28.31,3355,95,25
44.09,37.16,4953,86,24
44.63,33.70,5067,89,25
44.32,39.99,5615,88,25
43.91,58.05,9900,94,25
44.04,37.98,4895,96,25
44.68,39.03,4868,97,25
43.87,35.96,5564,90,25
43.73,35.22,4872,86,25
43.69,43.07,6254,88,25
43.85,34.42,4594,87,25
43.72,42.70,6647,89,25
43.44,38.46,5402,96,24
44.19,39.42,5701,92,25
43.44,37.89,5279,93,25
43.48,41.07,5088,97,25
43.47,41.78,5427,89,25
43.95,34.37,4943,93,25
43.90,32.92,4951,92,25
43.28,38.48,5555,93,25
43.12,49.87,8359,85,25
43.35,40.54,5902,90,24
43.69,38.08,5797,92,25
43.44,37.12,4619,99,25
43.78,33.65,4498,94,25
44.17,39.28,6388,90,25
43.71,39.25,5444,92,25
44.05,39.93,5959,89,25
43.61,44.79,6288,91,25
44.04,30.85,3931,95,25
43.95,33.52,4712,91,25
43.93,36.35,4546,93,25
43.44,29.42,4961,84,25
43.85,36.39,4823,91,25
43.20,40.71,5116,93,25
43.95,37.33,5518,82,25
43.66,42.68,7413,93,25
43.34,46.40,7290,91,25
44.32,34.31,4529,82,24
44.00,46.10,7171,85,24
