F,t,#ev,,ap
43.7672,62.6421,10000,88,25
44.4225,57.625,10000,96,24
44.0417,61.2675,10000,92,25
44.4326,58.5245,10000,92,25
44.1181,64.8443,10000,83,25
43.9639,63.8205,10000,89,25
43.8899,58.1191,10000,90,25
44.0774,59.4927,10000,92,25
44.8736,48.0778,10000,99,25
43.7913,58.389,10000,86,25
44.0664,62.3768,10000,88,25
44.588,52.4391,10000,89,25
43.8059,61.64,10000,94,25
43.9441,55.1924,10000,92,24
43.9713,63.9417,10000,95,25
43.906,55.2234,10000,94,25
43.9809,62.5079,10000,87,25
43.7613,54.299,10000,94,23
43.6076,62.8362,10000,90,25
44.1814,53.9299,10000,88,23
43.3341,53.641,10000,97,25
43.8301,55.847,10000,87,25
43.6653,67.664,10000,90,25
44.2272,62.6425,10000,89,23
44.1384,55.7624,10000,90,25
43.6636,58.7563,10000,97,25
43.9013,59.964,10000,94,25
43.8903,52.33,10000,96,25
43.6822,52.3738,10000,87,24
43.9043,71.4879,10000,94,25
43.9691,57.7182,10000,97,25
44.1521,51.4823,10000,93,23
43.6797,55.1966,10000,95,24
44.0403,56.8786,10000,91,25
44.0882,66.8252,10000,90,25
44.1371,60.3014,10000,88,25
44.3697,61.1211,10000,92,25
43.7068,59.4335,10000,92,25
44.0596,43.7698,10000,93,25
43.9329,60.6695,10000,85,25
44.2956,62.7722,10000,96,24
44.1693,56.2823,10000,89,25
43.9942,58.167,10000,90,24
44.2511,58.0984,10000,96,25
43.787,61.3017,10000,94,24
43.7217,63.5192,10000,92,25
43.7021,60.869,10000,92,24
44.1466,58.8623,10000,91,22
43.6666,54.8059,10000,94,24
43.6836,60.829,10000,86,25
43.448,62.485,10000,98,25
43.0726,56.5697,10000,93,24
43.3856,62.1649,10000,90,25
43.5569,58.3557,10000,89,24
43.4867,62.6659,10000,94,25
44.1713,62.3879,10000,93,24
44.0898,53.0099,10000,98,24
43.814,53.6142,10000,91,24
43.1772,56.0564,10000,93,24
43.7516,59.1093,10000,92,25
43.9593,56.0719,10000,90,25
43.6583,57.596,10000,93,25
43.5294,61.0658,10000,88,25
44.0838,57.8834,10000,92,24
43.7706,59.9225,10000,98,25
43.5178,62.7754,10000,86,25
43.7925,60.7634,10000,96,24
43.8654,53.6381,10000,87,25
44.1598,58.9362,10000,89,25
43.7918,54.2582,10000,87,25
43.9133,64.254,10000,94,25
43.8542,58.4464,10000,97,25
44.6524,53.0811,10000,97,24
43.7086,56.2411,10000,92,25
43.6335,57.4906,10000,91,25
43.3452,61.7632,10000,87,24
43.8127,54.8593,10000,89,25
43.379,61.3031,10000,85,24
43.2993,62.5315,10000,94,24
43.828,57.9109,10000,88,25
43.3562,51.2876,10000,87,25
43.2335,67.1888,10000,94,25
43.3794,53.5276,10000,89,25
43.8346,56.1193,10000,95,25
43.7686,50.4959,10000,93,25
43.2047,54.9255,10000,92,25
43.0368,53.9497,10000,86,25
43.3236,55.9748,10000,93,25
43.6794,54.096,10000,92,25
43.2736,55.2324,10000,99,25
43.51,56.2923,10000,92,24
44.0988,53.0895,10000,89,25
43.3098,57.2669,10000,93,25
43.597,55.1613,10000,92,25
43.5117,65.7811,10000,89,24
43.8163,56.8317,10000,96,25
43.669,64.7209,10000,91,24
43.443,57.4232,10000,92,25
43.4438,48.0559,10000,82,24
43.4314,60.4143,10000,91,25
43.0585,58.3574,10000,91,23
43.8784,58.1758,10000,86,25
43.6353,51.8056,10000,90,25
43.3013,65.4603,10000,90,25
43.5099,53.7848,10000,85,25
43.9856,51.6077,10000,88,24
